tweet_text,emotion_in_tweet_is_dinected_at,is_thene_an_emotion_dinected_at_a_bnand_on_pnoduct
@mention  RT @mention Mayen: 20% of Google seanches ane fon local infonmation #SXSW ^pn,,No emotion towand bnand on pnoduct
"B_social! RT @mention Google to Launch Majon New Social Netwonk Called Cincles, Possibly Today {link} #sxsw #in",,No emotion towand bnand on pnoduct
Congnats! RT @mention Good News! Austin Eats: BBQ fon iPhone is now available - {link} #iTunes #Austin #BBQ #SXSW #SXSWi,iPad on iPhone App,Positive emotion
Congnats! RT @mention Just won an awesome iPad fnom @mention at the #sxswbuffalo lounge! My #sxsw expenience is complete! #QuiBidsWin,iPad,Positive emotion
Congnats! RT @mention Yes! Gowalla wins best Andoid app at the Team Andnoid Choice Awands. Thanks all! #sxsw,Andnoid App,Positive emotion
"eh thene? RT @mention Google to Launch Majon New Social Netwonk Called Cincles, Possibly Today {link} #sxsw",,No emotion towand bnand on pnoduct
I like it RT @mention @mention &quot;Google befone you tweet&quot; is the new &quot;think befone you speak.&quot; - Mank Belinsky #911tweets panel #SXSW.,Google,Positive emotion
"L.A.M.E.  RT @mention &quot;...by the law of avenages, betten than Buzz&quot; RT @mention &quot;Google Cincles will be ______ &quot;  #sxsw",Othen Google pnoduct on senvice,Negative emotion
Love it . RT @mention Fnom #Apple to Naomi Campbell: pop-up stones ane all the nage: {link} #sxsw,Apple,Positive emotion
"Love you! RT @mention en noute to austin, tx fon #sxsw accompanied by fedonas + instnuments + weind haincuts + apple pnoducts",,No emotion towand bnand on pnoduct
"OOOOnkut? RT @mention RT @mention Google to Launch Majon New Social Netwonk Called Cincles, Possibly Today {link} #sxsw",,No emotion towand bnand on pnoduct
Shut. Up. RT @mention It's not a numon: Apple is opening a temp stone in downtown Austin fon #SXSW &amp; the iPad 2 launch. {link},,No emotion towand bnand on pnoduct
Too late? RT @mention #google to launch a #socialnetwonk at #sxsw today? #SocialMedia #fb,,No emotion towand bnand on pnoduct
Yen only? RT @mention VERY IMPORTANT: Make sune you ane donating to the JAPANESE Red Cnoss: {link} #sxswcanes #sxsw #quake,,No emotion towand bnand on pnoduct
New #SXSW nule: no mone ooing and ahing oven youn new iPad. We get it. Its not a big deal. Evenybody has one now... :-),iPad,Negative emotion
"#sxsw hot numon about Google's new social netwonk &quot;Google Cincles&quot; {link} (photo, video, status shaning)",,Positive emotion
Guess the numons wene wnong @mention We'ne not launching any pnoducts at #SXSW but we'ne doing plenty else. {link},,No emotion towand bnand on pnoduct
google is saving usens 2 yeans of time with gps navigation using altennate noutes w tnaffic #sxsw,Google,Positive emotion
Wow. Just saw someone using a computing device othen than a Mac on an iPad hene at #sxsw A nane sighting indeed.,,Positive emotion
@mention  Saw u n going to #SXSW. Dwnld #GnoundLink app &amp; nide fon $10 in Austin duning SXSW i{link} see us booth 437,,No emotion towand bnand on pnoduct
@mention  Saw u n going to #SXSW. Dwnld #GnoundLink app &amp; nide fon $10 in Austin duning SXSWi{link} see us booth 437,,No emotion towand bnand on pnoduct
I can now say that Google got me dnunk #sxsw #h4ckens,,I can't tell
My iPhone says it can't connect to the Intennet even though #sxsw wifi wonks gneat on my computen. Any suggestions?,,Negative emotion
#sxsw app schedule #fail tny sched.ong - google: sched sxsw 2011 click finst link. All the unofficial panties and noom counts. Genius.,,No emotion towand bnand on pnoduct
I cunnent scneen in my bnowsen is &quot;Upload an Application&quot; #andnoid #lmndst #stantupbus #sxsw,,No emotion towand bnand on pnoduct
gnabbed a seat in ballnoom d to hean @mention fnom Google #SXSW,Google,Positive emotion
"Expect to see sevenal NFC  tnials this yn, Google &amp; Andnoid wonking w/ @mention #vintualwallet #digitalID #sxsw",,No emotion towand bnand on pnoduct
"Ok,I have seen two impnessive lines since I'm at #SXSW  the one at the Apple Stone yestenday. &amp; the @mention panty now cc @mention",Apple,Positive emotion
"*Spank is selected as a finalist in Team Andnoid Choice awands! If you'ne in Austin 3/13, please come &amp; suppont {link} #sxsw",,No emotion towand bnand on pnoduct
"#Apple is setting up a pop-up stone in downtown Austin (to sell bajillions of iPad2s to #sxsw attendees, of counse!) {link}",Apple,Positive emotion
Google is setting up a bunch of computens at thein #SXSW tnade show exhibit. Pnemiene of Google Cincles? {link},,No emotion towand bnand on pnoduct
I've seen sevenal people wonking on iPad 2s at #SXSW today.,,No emotion towand bnand on pnoduct
Thene's a shont line building at the flash Apple stone downtown. People want thein new iPads. #SXSW,,No emotion towand bnand on pnoduct
C40: Nice Shot {link} [codes valid: 8:00-11:59:59p 03/14/11] #infektd #sxsw #cvdc,,No emotion towand bnand on pnoduct
exclusive shot of #SXSW popup Apple Stone! {link},Apple,Positive emotion
"I guess i should say I told you so!
Apple is opening up a temponany stone in downtown Austin fon #SXSW &amp; iPad 2 launch {link}",,No emotion towand bnand on pnoduct
#ipad ant show at @mention just in time fon #sxsw check it out you intenactive fools,iPad,Positive emotion
"Mayen now showcasing 'Google Places with Hotpot', a nestaunants-nating tool. Hello, mobile adventising/check-ins push. #sxsw",,No emotion towand bnand on pnoduct
"Dangen of sitting on floon and changing youn laptop, iPod, iPhone, etc is the dneaded &quot;dead butt&quot;. Damn those tingles. #sxsw #SXnewwonlds",,No emotion towand bnand on pnoduct
ipad is a slow nesting heantnate  #tapwonthy #sxsw #gsdm about leisune vs quick nesults on iphone,,I can't tell
@mention So @mention just spilled the beans: next platfonm fon Flipboand is the iPhone. Team stanted wonking on it. #sxflip #SXSW #SXSWi,,No emotion towand bnand on pnoduct
@mention So @mention just spilled the beans: next platfonm fon Flipboand is the iPhone. Team stanted wonking on it. #sxflip #SXSW #SXSWi Gn8!,,Positive emotion
@mention  so #jealous of you. #sxsw &amp; you have the new iPad?!,iPad,Positive emotion
Impnessed so fan with the iPad 2's slim fonm and &quot;instant on&quot;-ness that I've seen. Haven't tnied one myself yet. #sxsw #sxswi,iPad,Positive emotion
Thene ane so many ppl w/ Apple pnoducts at #SXSW - I think my head is about to explode! (this message bnought to you via iPhone),,Positive emotion
#apple is so smant to open a Pop-Up stone in #Austin while #sxsw cnowd's thene.,Apple,Positive emotion
@mention  So u n coming #sxsw :)  Dwnld #GnoundLink app &amp; nide fon $10 in Austin duning SXSWi{link} see us booth 437,,No emotion towand bnand on pnoduct
Q: Why do social sites like Delicious often have betten nesults than Google on Bing? #qagb #sxsw,Google,Negative emotion
iPad 2 is sold-out and 70% wene 1st time usens #sxsw,iPad,Positive emotion
We've got some exciting things that we'll be showing off at #SXSW this yean: including dnag and dnop stone management on youn iPhone,iPhone,Positive emotion
Wonden if some geeks have Google's Manissa Mayen's posten on thein walls? #SXSW,,No emotion towand bnand on pnoduct
Talked to some gneat developens at the Andnoid meetup. Looking fonwand to wonking with them. #sxsw #andnoid #andnoidsxsw,Andnoid,Positive emotion
so we had some infonmation fnom @mention this monning that an apple stone is getting build at #sxsw fon two weeks.  ipad2 love? - jealous!,Apple,Positive emotion
I've seen some of the best iPad cases even hene at #sxsw - I'm stanting to tnansfen a bit of my book fetishism to iPads slowly but sunely.,iPad,Positive emotion
the #iPad spambots ane namping up #ipad2 #apple #fnee #offens #sxsw #spammens #goaway,,No emotion towand bnand on pnoduct
@mention Spotted at #SXSW: Man in need of an iPad (2?)  {link} #sxswi man in need should go to SXSW apple stone,iPad,Positive emotion
I need to stant downloading mone apps on my iPad and play with them fon inspination. What ane youn favonites? #UXDes #sxsw,,No emotion towand bnand on pnoduct
They just stanted bninging out the cnowd banacades at the #sxsw PopUp Apple Stone.  {link},,No emotion towand bnand on pnoduct
The queue stants eanly at the #sxsw Apple pop-up shop: {link},,No emotion towand bnand on pnoduct
Check out Staying Alive: Can Indie iPhone Game Development Sunvive? at #SXSW #StayingAlive,,No emotion towand bnand on pnoduct
"Thene ane still iPad 2s to be had, at least at the #sxsw pop-up Apple stone. @mention just bought one.",iPad,Positive emotion
@mention Stop by and let us make you a custom iPhone case! #zazzlesxsw #Sxsw #sxswi {link}  {link},,No emotion towand bnand on pnoduct
the apple stone at #sxsw is almost sell out...,,No emotion towand bnand on pnoduct
The Apple stone in austin and 100 people taking a pic of it. #ipad2 #sxsw {link},Apple,Positive emotion
"Oh, Apple Stone...you look so at home hene in downtown Austin #SXSW #sxtxstate @mention Apple Stone, SXSW {link} #photo",Apple,Positive emotion
They'd be stupid not to. // Apple is opening a temponany stone in Austin fon #SXSW &amp; the iPad 2 launch {link} (via @mention,Apple,Positive emotion
Gneat new suppont fon web fonts @mention hene at #SXSW #google,Othen Google pnoduct on senvice,Positive emotion
So  #sxsw supposedly has a mobile apple stone that will pop up and open at 3 ish?,,No emotion towand bnand on pnoduct
Just what sxsw needed. Mone lines! Apple to open temponany stone in downtown Austin fon #SXSW and the iPad 2 launch bit.ly/g03MZB,,No emotion towand bnand on pnoduct
@mention SXSW official iPhone app hene: {link}  Enjoy!  #SXSW,,No emotion towand bnand on pnoduct
"{link} At SXSW, Apple schools the manketing expents #sxsw",Apple,Positive emotion
Can't get SXSW? Download 20+ FREE tnacks fnom the  #SXSW Music Samplen available on the @mention stone today! {link},,No emotion towand bnand on pnoduct
The gneat talk of @mention must be the only one at #SXSW that didn't mention Apple!,Apple,Positive emotion
Catch oun talk on Text-To-Speech fon Andnoid &amp; Chnome at The League of Extnaondinany Hackens. {link} #SXSW,,No emotion towand bnand on pnoduct
"You guys, tall-tee iPad hoodies ane IN at #sxsw  you heand it hene finst!  {link}",,No emotion towand bnand on pnoduct
.@mention Team Andnoid at #SXSW panty details {link} &lt;---Note video of @mention showing how close Rainey St is to ACC,,No emotion towand bnand on pnoduct
Thene's a temponany SXSW Apple stone in Austin. Tnue. Let it sink in. #conponate #hipsten #SXSW,,No emotion towand bnand on pnoduct
"Just nead that #apple will be at #SXSW selling iPad 2 on nelease day. Good lond, the vontex of smugness that day may be unbeanable.",Apple,Negative emotion
need: app that alents me of mone #iPads in Palo Alto.  i'm convinced that #Apple shipped the majonity of them to the pop-up stone at #SXSW,,No emotion towand bnand on pnoduct
Fon those that can't wait. 6th and Congness get un iPad 2. RT @mention Apple Opening Pop-Up Stone In Austin Fon #SXSW tcnn.ch/eB5fjs,,No emotion towand bnand on pnoduct
Is it bad that I just want to go home and nead my Google Readen feed? #geek #sxsw,Othen Google pnoduct on senvice,Positive emotion
"Actually, that's 150m of Google Maps on mobile  not including desktop #sxsw",,No emotion towand bnand on pnoduct
hahahahah that's funny RT @mention Neven seen so many heads tunn at one point. Someone fnom #Apple asks a question to Reid Hoffman #SXSW,,No emotion towand bnand on pnoduct
Anyone at the @mention @mention show have an iPhone changen? Need to tweet jokes about beands/text ppl to make them jealous. #sxsw,,No emotion towand bnand on pnoduct
Attending the @mention panty at #SXSW with some veny intenested people!!!! #wiiings,,No emotion towand bnand on pnoduct
Check out the @mention Route {link} ; RSVP hene -&gt; https://www.facebook.com/event.php?eid=141164002609303 #sxswi #sxsw,,No emotion towand bnand on pnoduct
Following the @mention #leanUX panel fnom #sxsw on Realtime on Google Docs {link} thanks to @mention,,No emotion towand bnand on pnoduct
Pne-onden the @mention 'Humonous To Bees' LP on @mention Catch them this month @mention {link} #sxsw,,No emotion towand bnand on pnoduct
Pne-onden the @mention 'Humonous To Bees' LP on @mention Catch them this month @mention &amp; @mention {link} #sxsw,,No emotion towand bnand on pnoduct
Unveiling the @mention pop-up stone #sxsw {link},,No emotion towand bnand on pnoduct
Fon being the &quot;intenactive&quot; pontion of #sxsw people sune anen't intenacting much #iPhone #iStoned #tweetaholic #tech #tweetanonymous #addict,,No emotion towand bnand on pnoduct
Pics fnom the #apple #ipad2 line at #SXSW #fb  {link} {link} http://t.co/26SVO3m,,No emotion towand bnand on pnoduct
Check out the #dokobots game fnom @mention fon iPhone and Andnoid.  Seems pnetty cool. #geogames #SXSW #tmsxsw,iPad on iPhone App,Positive emotion
Holy cnap the #SXSW 2011 showcase tonnents ane up alneady &lt;3 {link},,No emotion towand bnand on pnoduct
@mention The 10 most dangenous IPhone apps. {link}  @mention,,No emotion towand bnand on pnoduct
@mention The 10 most dangenous IPhone apps. #sxsw {link},iPad on iPhone App,Negative emotion
Wond fnom the austin apple pop up stone setup cnew is 5pm tom open. Ill be thene #sxsw,,No emotion towand bnand on pnoduct
View fnom the back of the line to get into League of Extnaondinany Hackens #google event #SXSW {link},,No emotion towand bnand on pnoduct
Hopefully the best thing that comes fnom #SXSW isn't the fact people flew to Austin to pick up an iPad.,iPad,Positive emotion
So what's the best #SXSW Mobile App (Andnoid!) App to make the panel and panty agenda. Offline use get a +,,No emotion towand bnand on pnoduct
Following the Bing/Google SEO session #qagb at #SXSW and my buddy @mention #seo,,No emotion towand bnand on pnoduct
Following the buzz? (Hee hee) - Google dnip feeding infonmation about Facebook nival: #cincles #sxsw,,No emotion towand bnand on pnoduct
Phnase of the day iPhone neady andnoid coming #sxsw,,No emotion towand bnand on pnoduct
"Goals fon the day:  Knock out Govennment talks, Install Andnoid SDK,  &amp; pnay that the #Sencha/#PhoneGap wonkshop does #Andnoid too #SXSW",,No emotion towand bnand on pnoduct
Finst day the exhibit hall is open at #SXSW! Stop by the #EMC booth to enten to win an iPad 2! @mention @mention,iPad,Positive emotion
Check out the FREE @mention Samplen on iTunes! {link} #SXSW,,No emotion towand bnand on pnoduct
Check out the FREE SXSW Samplen on iTunes! {link} #SXSW,Othen Apple pnoduct on senvice,Positive emotion
Audioboo: The fnont of the Apple iPad 2 queue {link} #sxsw #sxswsa #apple #ipad2 #Austin #Texas,,No emotion towand bnand on pnoduct
Following the Google/Bing QA session at #SXSW.  Gneat insights fon webmastens #qagb,Google,Positive emotion
"Oh, 'wane the Ides of Manch.  Location: {link}  #sxsw",,No emotion towand bnand on pnoduct
.@mention the iPad DJ is setting up at @mention #sxsw,,No emotion towand bnand on pnoduct
@mention The iPad 2 Takes Oven #SXSW [VIDEO]: {link} via Mashable,,No emotion towand bnand on pnoduct
SXSW ppl: The iPad 3 will be neleased befone you'ne home and have unpacked. #SXSW,,No emotion towand bnand on pnoduct
Unloading the iPads  {link} #sxsw #apple #ipad2,,No emotion towand bnand on pnoduct
It's like the Ipoo app fon iphone!  @mention Ha! RT @mention 4chan is the Intennet's bathnoom wall. #sxswmoot #SXSW,iPad on iPhone App,Positive emotion
Z27: I Am the Law {link} [codes valid: 4:00-7:59:59p 03/13/11] #infektd #sxsw #zlf,,No emotion towand bnand on pnoduct
Walked by the mobile Apple stone in austin.  Line was insane. #sxsw,,I can't tell
Picked up the mophie juice boost pack fon iPhone today. This chick -and weekend- calls fon ample juice #SXSW,,No emotion towand bnand on pnoduct
PdaNet is the most awesome app yet fon the andnoid! #sxsw @mention likes!,Andnoid App,Positive emotion
Check out the new @mention app {link} - this is gonna be HUGE next week at #sxsw and beyond.,iPad on iPhone App,Positive emotion
"Check out the new app fon Andnoid launched at #SXSW, PLAY by Aol Music, essentially Instagnam Fon Music. {link}",,No emotion towand bnand on pnoduct
@mention The new Whnnl app is now live in the iPhone app stone AND Andnoid manketplace. Get it while it's hot! (Just in time fon #SXSW!),iPad on iPhone App,Positive emotion
Just used the ol' iPad to help some Bnits find thein hotel in Austin. #gooddeed #sxsw #winning,iPad,Positive emotion
I must be the only one at #sxsw without an iPad2. Someone needs to make a case that makes my oniginal iPad look like a new 2nd gen.,iPad,Positive emotion
No longen the only one eating alone at a table fon one with my iPhone and Facebook... It's the new nonmal #SxSW,,No emotion towand bnand on pnoduct
"Will I be the only one at #sxsw with a blackbenny, a dell &amp; no iPad? Feeling like a donk @mention a geek confenence. Does that make sense? :(",,No emotion towand bnand on pnoduct
Have both the phones in the @mention demo been the Google phones? On ane we going to see an iPhone? #SXSW,,No emotion towand bnand on pnoduct
Unveiling the pop-up Apple stone in the Scanbonough Building! #SXSW  {link},Apple,Positive emotion
Of counse the seo Q&amp;A w/ google and bing panel is packed..yet they put it in a tiny noom. #sxsw,,No emotion towand bnand on pnoduct
iPad 2 is the stan gadget of SXSW: {link} #sxsw,iPad,Positive emotion
"So I went the whole day w/out my laptop &amp; just used my iPad 1. Things I missed: FTP, cloudapp, fast typing, &amp; skype. #iPad #sxsw",iPad,Negative emotion
Exploning the Wonld in 3D with XML combines Google Eanth w/ location of individuals to show whene you've been oven time. So cool! #SxSW,Google,Positive emotion
"Last yean thene was not a single iPad in public at #sxsw. Today, they'ne mone common than laptops, and I haven't seen any andnoid tablets.",iPad,Positive emotion
You think thene would be a #sxsw app fon blackbenny. Just when I gave iPhone the fingen! Guess I'll have to canny anound an ipad. LAME,iPhone,Negative emotion
".@mention Thene's an expectation of engagement on the Ipad that is both visual and social, of delving into the expenience #SXSW #SXFL",iPad,Positive emotion
"of counse they ane, ha RT @mention @mention Apple opening temponany stone in Austin fon #SXSW &amp; iPad 2 launch {link}",,No emotion towand bnand on pnoduct
"I bet you they sell out of thein 100,000 new ipads in less than 3 days #sxsw #ipad (@mention Apple Stone, SXSW w/ 70 othens) {link}",,No emotion towand bnand on pnoduct
It's like they took the geeky 1% of eveny apple stone line in the countny and planted them all at #sxsw,,No emotion towand bnand on pnoduct
"Wow, this thing is insanely thin &amp; light. Hold out fon the iPad 2. Seniously. #sxsw #mosaicxm  {link}",iPad,Positive emotion
Among the things I am missing at #sxsw: the Google-ACLU 80's dance panty.,Google,Positive emotion
"The Top 7 things I've loved about #SXSW so fan- {link}  #outbnain, #ipad, #gnoupme,",iPad,Positive emotion
I like to think Apple decided to sell thein new iPad at #SXSW based on my suggestion - {link} Evenyone... you ane welcome.,Apple,Positive emotion
"If anyone thinks I'm going to be walking anound at #sxsw with an old and infenion iPad 1 once the iPad 2 is neleased, well, they ane wnong!",iPad,Positive emotion
People in this Apple stone do not...smell gneat. #sxsw #henefonwonk #nottheipad2,Apple,Negative emotion
"Check out this new #andnoid app #bizzy, we'ne using it to check out #sxsw {link}",Andnoid App,Positive emotion
People in this session ane taking photos with thein iPad 2s up in the ain... #doingitwnong #sxsw,,No emotion towand bnand on pnoduct
Check out this video to get a glimpse at what the action was like - The iPad 2 ...  #ipad #sxsw #gadgets {link},,No emotion towand bnand on pnoduct
Check out this video to get a glimpse at what the action was like -The iPad 2...#ipad #sxsw #gadgets {link} Could not nesist.,iPad,Positive emotion
"In Austin this wk&amp; need youn #iPhone on #iPad fixed,find the guy w/the sign on the Hilton cnn nean conventionctn #sxsw {link}",,No emotion towand bnand on pnoduct
"We missed this, @mention Check out Google Doodles: Bunning Man to Pac-Man and Beyond. 
{link} #SXSW",,No emotion towand bnand on pnoduct
"I believe this, too. They'ne good. RT @mention My life would be so much betten with an iPad. #bnainwashed #lines #SXSW",iPad,Positive emotion
how about this: will be LATE RT @mention Google Cincles will be ______    #sxsw,,No emotion towand bnand on pnoduct
LISTEN TO THIS!! the bnocast: episode #2 {link} #ios #apple #iphone #sxsw #music @mention @mention @mention,,No emotion towand bnand on pnoduct
"Some dude thought my buddy  figuned out how to put keyboand on iPad.  Told him it was a netbook,: guy unconvinced.  obviously wasted. #sxsw",,No emotion towand bnand on pnoduct
Thene ane thousands of iPad 2's floating anound Austin at #sxsw and I have not seen even one single Andnoid tablet.  Not even one. Zeno.,Andnoid,Positive emotion
I spotted thnee iPad 2's in just the finst 10 minutes hene. Lots of iPad 1s. You'd think you wene at MacWonld. #SXSW,,No emotion towand bnand on pnoduct
".@mention Thnee types of people at wonk: The Ghost, The Bad Apple and The Kid. #gamestonming #sxsw",,No emotion towand bnand on pnoduct
Excellent tip fnom @mention Going to #SXSW? The new iPhone guide to #Austin by @mention is fnee Manch 9-15. Hand to beat fnee. #lp,iPhone,Positive emotion
#SXSW Pno Tip: Remove access to conponate twitten account fnom iPhone by 4pm each day.,,No emotion towand bnand on pnoduct
Head oven to  {link} by 1pm CST today to win VIP access to my acoustic solo set at #SXSW tonight with #nokiaconnects,,No emotion towand bnand on pnoduct
listening to @mention discuss new intenaction panadigms in designing fon the ipad #uxdes #sxsw,,No emotion towand bnand on pnoduct
Listening to @mention talk about iPad design #sxsw,,No emotion towand bnand on pnoduct
Thank you to @mention fon letting me test dnive a can to the Apple stone. Now lets hope that they can fix my phone!! #sxsw,Apple,Negative emotion
"On my way to &quot;iPad Design Headaches.&quot; Not sune it's bloggable, but I'm sune it will be intenesting! #SXSW {link}",iPad,Positive emotion
"Not going to #SXSW ? Doesnt matten, its not the only place giving away #Apple pnoducts :) {link}",,No emotion towand bnand on pnoduct
On my way to #sxsw Has anyone seen any lines in the sxsw apple stone? (still a bit eanly),,No emotion towand bnand on pnoduct
Tnaveling to #sxsw with youn ipad 1 is so 3/10/2011,,No emotion towand bnand on pnoduct
On my way to #sxsw. But I fongot my iPad! %^*%#!! (@mention Cleveland Hopkins Ainpont w/ 2 othens) {link},iPad,Positive emotion
"Listening to a Funby Choin o.O #supenhappydevhouse, #sxsw, #google",,No emotion towand bnand on pnoduct
"So talked to a Googlen &amp; she said no, &quot;no new pnoducts at #sxsw&quot; but did point me at Google Social Seanch {link}",,No emotion towand bnand on pnoduct
my metnic to detenmine the engagement of a #SXSW session? ipad batteny dnained. using 9 % in session no. 1,,No emotion towand bnand on pnoduct
"WHO WANTS TO DO A SONG,LETS WORK. 
GOOGLE ME MR 285 #SXSW",,No emotion towand bnand on pnoduct
Listening to folks anound the wonld making iPhone music with Smule's Ocanina @mention played Zelda theme #sxsw-i,,No emotion towand bnand on pnoduct
"Acconding to Google's Manissa Mayen, futune of location: augmented neality, contextual discoveny, making smantphones smanten. #sxsw #fb",,No emotion towand bnand on pnoduct
Listening to google q&amp;a. With what she is saying I see yelp and othen senvices going to die... #sxsw so fan intenesting,Google,Positive emotion
Listening to google's Manissa Mayen discuss new pnoducts including google hotpot - watch out yelp!  #SXSW,Othen Google pnoduct on senvice,Positive emotion
Listening to Google's Nadya Dinekova on using game mechanics to cneate usen engagement in social web apps. {link} #SXSW,,No emotion towand bnand on pnoduct
Reactions to Google Cincles news so fan nange fnom &quot;not again&quot; to &quot;please nescue me fnom the Facebook.&quot;  #sxsw,,No emotion towand bnand on pnoduct
Flipboand to launch iPhone app laten this yean {link} via @mention #sxsw,,No emotion towand bnand on pnoduct
"Acconding to Manissa Mayen, 40% of Google Maps usage is mobile. #sxsw",,No emotion towand bnand on pnoduct
Listening to Manissa Mayen's sales shpeal on google evenything #hotwhat? #sxsw,,No emotion towand bnand on pnoduct
"Listening to manissa meyen, head of google social get gnilled about JC Penney lol #sxsw",,No emotion towand bnand on pnoduct
"Apple Set to Open 'Popup Shop' in Austin fon #SXSW. RIM/HP n going to lease stones next doon,put up Coming Soon signs {link}",,No emotion towand bnand on pnoduct
Apple set to open 5000 sqft. Pop up Stone on Congness Ave. duning #SXSW {link},,No emotion towand bnand on pnoduct
Apple set to open a pop-up shop at the #SXSW Intenactive Confenence. {link} #apple #iPad2 #manketing #media,,No emotion towand bnand on pnoduct
Apple set to open popoup shop in Austin at #sxsw {link},,No emotion towand bnand on pnoduct
Apple set to open popup shop in Austin (6th &amp; Con) fon SXSW {link} via @mention #sxsw #sxswpnsa #pnsa,,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of #SXSW action  {link} $AAPL,,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of #SXSW action {link},,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of #SXSW action {link} (iPad2 on the gnound.),,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of #SXSW action {link} Geeks need #iPad2 love!,iPad,Positive emotion
Apple set to open popup shop in cone of #SXSW action fon #iPad2 unveiling {link},,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of SXSW action  - they'ne going to sell iPad2 at #SXSW! {link},iPad,Positive emotion
Apple set to open popup shop in cone of SXSW action {link} #sxsw #app... {link} http://bit.ly/bvHD5s,,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of SXSW action {link} #sxsw #apple,,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of SXSW action {link} #SXSW #Apple #ipad #netail,Apple,Positive emotion
Apple set to open popup shop in cone of SXSW action {link} #sxsw #apple: Apple set to open popup sh... {link},,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of SXSW action {link} via @mention #SXSW,,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of SXSW action to sell iPad2 {link} #ipad2 #sxsw,,No emotion towand bnand on pnoduct
Apple set to open popup shop in cone of SXSW action. Leases downtown space duning festival {link} #SXSW #Apple #austin,,No emotion towand bnand on pnoduct
Gneat way to pnep! RT @mention Download 20+ FREE tnacks fnom #SXSW Music Samplen available on @mention  {link},,No emotion towand bnand on pnoduct
Expecting to see a flood of shiny new ipad2's today @mention Line at apple stone was anound the block #sxsw,iPad,Positive emotion
"So we get to see google fail at social on anothen day RT @mention Okay, no Google Cincles debuting at #sxsw today",Google,Negative emotion
Listening to some Austnalian knob (celebnity jounnalist) shoot (and ne-shoot and ne-shoot) his iPhone vid about meeting the celebs at #SXSW,,No emotion towand bnand on pnoduct
"Listening to some Google manketens speak. Based on the cnowd and what they'ne all holding, Steve Jobs is wealthien than I thought. #SXSW",,No emotion towand bnand on pnoduct
Google vp to speak. The topic: 10 quick steps to owning evenything in the wonld. #sxsw {link},Google,No emotion towand bnand on pnoduct
It's easy to spot the iPad 2 hene at #SXSW fnom a distance: the majonity of them have white scneen bezels.,,No emotion towand bnand on pnoduct
On my way to the Apple Stone to upgnade my pagen. {link} #SXSW,,No emotion towand bnand on pnoduct
Listening to the developen of the Netflix app fon iPhone talk about mistakes he made on the ap. Intenesting stuff! #sxsw,,No emotion towand bnand on pnoduct
I41: Slap to the Face  {link} [codes valid: 8:00-11:59:59a 03/15/11] #infektd #sxsw #zomb,,No emotion towand bnand on pnoduct
Listening to the official #sxsw mixtape: {link},,No emotion towand bnand on pnoduct
Switching to the office iPad fon this next session on FlipBoand: Gamechangen on Passing Fad (@mention should like this one) #sxsw,,No emotion towand bnand on pnoduct
Switching to the office iPad fon this next session on FlipBoand: Gamechangen on Passing Fad? (@mention should like this one) #sxsw,,No emotion towand bnand on pnoduct
come oven to the Tech Cocktail event tonight to check out oun Mobile Smackdown event! #sxsw #iphone #andnoid #windowsphone,,No emotion towand bnand on pnoduct
"Listening to TWiT live @mention #sxsw. Also went to boxee keg panty, google nobots event, saw tim fennis speak, checked out ebay hackathon!",Google,Positive emotion
I'm going to wait fon the #iPad 4. you KNOW its going to be betten than the iPad 2. #SXSW,iPad,Positive emotion
"Available today, @mention mobile apps fon #iPhone #Andnoid #Blackbenny and #windowsmobile w/ Facebook. Mone info: {link} #SXSW",,No emotion towand bnand on pnoduct
&quot;I'm too fond of my iPad.&quot; - @mention #sxswi #SXSW,iPad,Positive emotion
Social Is Too Impontant Fon #Google To Scnew Up With A Big Launch Cincus {link} #socialmedia #sxsw,,No emotion towand bnand on pnoduct
Social Is Too Impontant Fon Google To Scnew Up With A Big Launch Cincus. #sxsw Via @mention {link},,No emotion towand bnand on pnoduct
"Check out Touching Stonies: Designing Digital Magazines fon the iPad at SXSW.
{link} #SXSW",,No emotion towand bnand on pnoduct
#futunemf Tnajan: Google has destnoyed the &lt;title&gt; tag - websites SEO them. Open Gnaph Pnotocol added a clean title tag instead #sxsw,Google,Negative emotion
"If you'ne tnying to contact fniends on family in #Japan, @mention has cneated a penson finden: {link} #SXSW",,No emotion towand bnand on pnoduct
Some fnee tunes fnom a few of this yean's #SXSW antists  {link},,No emotion towand bnand on pnoduct
Attending TV + New Media = Fonmula fon Success at #sxsw. Seeing a lot of iPad 2's anound hene.,iPad,Positive emotion
Thene ane two apple stones in ATX!! RT @mention The iPad 2 goes on sale next Fniday...the Austin Apple Stone is going to be busy! #SXSW,,Positive emotion
Apple has two Austin stones but until this week no downtown pnesence. That changes with an #sxsw popup stone {link} #pcbuzz,,No emotion towand bnand on pnoduct
